check,passed,details
filename_session_matches_window_15,True,session_15_processed_pps_window_results.csv
filename_session_matches_window_17,True,session_17_processed_pps_window_results.csv
filename_session_matches_window_18,True,session_18_processed_pps_window_results.csv
filename_session_matches_window_19,True,session_19_processed_pps_window_results.csv
filename_session_matches_window_21,True,session_21_processed_pps_window_results.csv
filename_session_matches_window_22,True,session_22_processed_pps_window_results.csv
filename_session_matches_window_23,True,session_23_processed_pps_window_results.csv
filename_session_matches_window_25,True,session_25_processed_pps_window_results.csv
filename_session_matches_surrogate_01,True,session_1_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_04,True,session_4_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_05,True,session_5_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_06,True,session_6_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_07,True,session_7_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_08,True,session_8_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_09,True,session_9_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_10,True,session_10_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_11,True,session_11_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_12,True,session_12_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_13,True,session_13_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_14,True,session_14_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_15,True,session_15_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_17,True,session_17_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_18,True,session_18_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_19,True,session_19_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_21,True,session_21_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_22,True,session_22_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_23,True,session_23_processed_pps_surrogate_results.csv
filename_session_matches_surrogate_25,True,session_25_processed_pps_surrogate_results.csv
all_sessions_in_primary_subset,True,found=20
20_sessions_in_awake,True,found=20
20_sessions_in_drowsy,True,found=20
unique_original_window_keys,True,one row/window
original_surrogate_window_keys_match,True,original=901; surrogate=901
no_duplicate_surrogate_rows,True,n=0
exactly_39_surrogates_per_window,True,range=39-39
unique_surrogate_ids_within_window,True,range=39-39
frozen_M,True,expected=39; unique=[np.float64(39.0)]
frozen_m,True,expected=8; unique=[np.float64(8.0)]
frozen_tau_seconds,True,expected=0.16; unique=[np.float64(0.16)]
frozen_n_horizons,True,expected=18; unique=[np.float64(18.0)]
frozen_hmax_seconds,True,expected=4.0; unique=[np.float64(4.0)]
frozen_theiler_seconds,True,expected=1.0; unique=[np.float64(1.0)]
finite_surrogate_metrics,True,all 9 metrics
finite_original_metrics,True,valid rows
recomputed_CC_surrogate_mean_matches,True,max_abs_difference=3.33e-16
recomputed_CC_surrogate_sd_matches,True,max_abs_difference=1.32e-16
recomputed_CC_surrogate_median_matches,True,max_abs_difference=0
recomputed_CC_rank_matches,True,max_abs_difference=0
recomputed_CC_p_matches,True,max_abs_difference=0
recomputed_CC_reject_matches,True,mismatches=0
recomputed_CC_direction_matches,True,mismatches=0
recomputed_NRMSE_surrogate_mean_matches,True,max_abs_difference=3.33e-16
recomputed_NRMSE_surrogate_sd_matches,True,max_abs_difference=1.28e-16
recomputed_NRMSE_surrogate_median_matches,True,max_abs_difference=0
recomputed_NRMSE_rank_matches,True,max_abs_difference=0
recomputed_NRMSE_p_matches,True,max_abs_difference=0
recomputed_NRMSE_reject_matches,True,mismatches=0
recomputed_NRMSE_direction_matches,True,mismatches=0
recomputed_DET_surrogate_mean_matches,True,max_abs_difference=3.33e-16
recomputed_DET_surrogate_sd_matches,True,max_abs_difference=1.46e-16
recomputed_DET_surrogate_median_matches,True,max_abs_difference=0
recomputed_DET_rank_matches,True,max_abs_difference=0
recomputed_DET_p_matches,True,max_abs_difference=0
recomputed_DET_reject_matches,True,mismatches=0
recomputed_DET_direction_matches,True,mismatches=0
recomputed_Lmean_surrogate_mean_matches,True,max_abs_difference=1.33e-15
recomputed_Lmean_surrogate_sd_matches,True,max_abs_difference=3.05e-16
recomputed_Lmean_surrogate_median_matches,True,max_abs_difference=0
recomputed_Lmean_rank_matches,True,max_abs_difference=0
recomputed_Lmean_p_matches,True,max_abs_difference=0
recomputed_Lmean_reject_matches,True,mismatches=0
recomputed_Lmean_direction_matches,True,mismatches=0
recomputed_LAM_surrogate_mean_matches,True,max_abs_difference=2.22e-16
recomputed_LAM_surrogate_sd_matches,True,max_abs_difference=1.25e-16
recomputed_LAM_surrogate_median_matches,True,max_abs_difference=0
recomputed_LAM_rank_matches,True,max_abs_difference=0
recomputed_LAM_p_matches,True,max_abs_difference=0
recomputed_LAM_reject_matches,True,mismatches=0
recomputed_LAM_direction_matches,True,mismatches=0
recomputed_TT_surrogate_mean_matches,True,max_abs_difference=1.78e-15
recomputed_TT_surrogate_sd_matches,True,max_abs_difference=3.3e-16
recomputed_TT_surrogate_median_matches,True,max_abs_difference=0
recomputed_TT_rank_matches,True,max_abs_difference=0
recomputed_TT_p_matches,True,max_abs_difference=0
recomputed_TT_reject_matches,True,mismatches=0
recomputed_TT_direction_matches,True,mismatches=0
recomputed_ENTR_surrogate_mean_matches,True,max_abs_difference=6.66e-16
recomputed_ENTR_surrogate_sd_matches,True,max_abs_difference=1.94e-16
recomputed_ENTR_surrogate_median_matches,True,max_abs_difference=0
recomputed_ENTR_rank_matches,True,max_abs_difference=0
recomputed_ENTR_p_matches,True,max_abs_difference=0
recomputed_ENTR_reject_matches,True,mismatches=0
recomputed_ENTR_direction_matches,True,mismatches=0
recomputed_Lmax_surrogate_mean_matches,True,max_abs_difference=1.42e-14
recomputed_Lmax_surrogate_sd_matches,True,max_abs_difference=7.11e-15
recomputed_Lmax_surrogate_median_matches,True,max_abs_difference=0
recomputed_Lmax_rank_matches,True,max_abs_difference=0
recomputed_Lmax_p_matches,True,max_abs_difference=0
recomputed_Lmax_reject_matches,True,mismatches=0
recomputed_Lmax_direction_matches,True,mismatches=0
recomputed_Vmax_surrogate_mean_matches,True,max_abs_difference=7.11e-15
recomputed_Vmax_surrogate_sd_matches,True,max_abs_difference=3.55e-15
recomputed_Vmax_surrogate_median_matches,True,max_abs_difference=0
recomputed_Vmax_rank_matches,True,max_abs_difference=0
recomputed_Vmax_p_matches,True,max_abs_difference=0
recomputed_Vmax_reject_matches,True,mismatches=0
recomputed_Vmax_direction_matches,True,mismatches=0
